CPU2 Load [%],Battery Status,android_Start Time (Seconds),android_End Time (Seconds),GPU Frequency [KHz],android_Energy Consumption (Joule),CPU3 Frequency [kHz],device,android_Duration (Seconds),subject,Screen Brightness,CPU1 Frequency [kHz],CPU4 Frequency [kHz],Battery Power* [uW],CPU4 Load [%],CPU3 Load [%],GPU Load [%],CPU1 Load [%],CPU2 Frequency [kHz],browser
48.81325025919625,3.0,26.50190106686507,26.79714688898984,186771.94232117265,0.049051396313984454,569571.803928658,nexus7,0.2952458221247919,httpswwwtrivagocom,255.0,1203018.5344005355,246721.90443963395,307648.55499344866,10.769555861492114,23.159750581871766,16.6083872971432,49.69941868190787,1187900.526581715,comandroidchrome
54.344993881268806,3.0,26.010104174899976,26.37653056614326,355087.6260209372,0.058811061442366114,868030.1378414166,nexus7,0.3664263912432902,httpswwwchromestatuscomfeatures,255.0,1256526.9475256994,356849.3819910712,896225.3209404652,15.426006536071027,38.623362157810725,28.77701681728517,54.46335321663451,1255157.2579585996,comandroidchrome
37.39761138191426,3.0,26.6772171926565,26.968545092490675,273424.00033021724,0.04910270499436306,268504.2345460649,nexus7,0.2913278998341759,httpswiki-offlinejakearchibaldcom,255.0,1091651.1363667466,135098.02672243275,168033.10571618992,5.468092412707095,11.667699864756614,4.821917936380647,41.91389997706579,986205.3171354714,comandroidchrome
51.99608603763078,3.0,26.662651941362352,26.983953853010306,185790.07678654479,0.055288150012810705,597226.327439088,nexus7,0.3213019116479691,httpsmubercom,255.0,1205201.7077175698,242325.2057290925,366120.7027916196,9.857288140955673,26.00847062843475,16.37874411129145,51.46665571975917,1204637.2930132786,comandroidchrome
50.5847500414427,3.0,26.642716423712276,26.95580305774068,176530.91228472142,0.051690153580333326,491173.2581051667,nexus7,0.31308663402838594,httpstoppletrumpcom,255.0,1177506.4626979234,243426.54370489172,281874.27441160375,9.2261975407645,20.583562581942697,15.49370571912272,51.66530773038705,1173762.9495727813,comandroidchrome
44.934374161442825,3.0,26.456294719652707,26.754442550398952,159152.98321623792,0.04895039943946147,300270.6151797069,nexus7,0.29814783074624074,httpsjakearchibald-gcmappspotcom,255.0,1078643.0245691778,154346.06871520553,183795.6991251708,6.575443942790894,13.575574442245204,15.375834179294273,46.48171468943576,1081683.5325783808,comandroidchrome
48.05886864983898,3.0,26.94624505628426,27.251952775262,200834.31496154508,0.050675254110326536,452251.16737312404,nexus7,0.3057077189777924,httpsaerotwistcomblogguitar-tuner,255.0,1150470.1953134972,255437.98315958297,253576.76008261097,10.511654605974975,19.359667233105483,15.28406069822087,48.078952981849774,1151290.467590518,comandroidchrome
46.860637154382175,3.0,26.91833383850302,27.205662616820288,160793.3038826084,0.04671673727063664,264320.8885244713,nexus7,0.2873287783172598,httpsresume-nationgithubio,255.0,1078644.7404581995,149743.98031541245,168164.80335224108,6.147491699761801,12.020865106617299,14.580542126057287,46.331933861738776,1079373.8667318993,comandroidchrome
46.05045733395344,3.0,26.769613761526543,27.049676445566842,164034.73403569244,0.04807725452978109,298883.2096585894,nexus7,0.280062684040275,httpstwittercom,255.0,1082556.6274666134,143320.35844242535,183790.06002205345,6.045978771107728,13.346578775022067,14.433355280492245,45.29879587181362,1093886.2790322427,comandroidchrome
52.13878220455353,3.0,26.770103681876602,27.02530969934907,208873.81216451735,0.04097283408948575,932264.5713646285,nexus7,0.2552060174724806,httpstindercom,255.0,1154745.9157690464,279870.0331854152,453463.1417750704,12.491593216875836,42.82685037622293,41.33339190127506,55.15887219354551,1117795.060063953,comandroidchrome
48.04869893377651,3.0,26.52629832350769,26.839611289168392,165908.8170372082,0.05469370034914565,309070.2121778202,nexus7,0.3133129656607149,httpsjsfeaturesin,255.0,1124373.3208861742,142660.93335814375,189314.89105626658,5.82540919125251,15.174122215548715,13.834632977297638,48.401318618947336,1124161.6849908538,comandroidchrome
