CPU2 Load [%],Battery Status,android_Start Time (Seconds),android_End Time (Seconds),GPU Frequency [KHz],android_Energy Consumption (Joule),CPU3 Frequency [kHz],device,android_Duration (Seconds),subject,Screen Brightness,CPU1 Frequency [kHz],CPU4 Frequency [kHz],Battery Power* [uW],CPU4 Load [%],CPU3 Load [%],GPU Load [%],CPU1 Load [%],CPU2 Frequency [kHz],browser
48.10598000243249,3.0,30.87511526307669,31.195733999584785,204406.88442610003,0.0464572586618237,394665.8526855866,nexus7,0.3206187365080853,httpsreact-hnappspotcom,255.0,1171260.593589768,143133.86725664302,207517.60963786687,5.174970008946326,16.043984064737298,10.132270096364131,47.69894683105127,1183811.0120407888,comandroidchrome
41.298943363991,3.0,31.43066116628772,31.781356299423077,304730.7952959936,0.04888886003933834,433351.1339161138,nexus7,0.35069513313535267,httpspwarocks,255.0,1125832.7635752726,212945.63694866025,313704.45976347086,9.085770589519445,18.136900557153297,3.977866880513232,43.16399160948014,1092804.629061192,comandroidchrome
46.622484135335206,3.0,31.068990387743998,31.36557938109473,179285.55315029676,0.03994130777673958,497016.7515717877,nexus7,0.29658899335073524,httpsdevoperacom,255.0,1145087.065991134,223892.26861229958,262468.3895433176,8.56307076611356,19.14901685689843,15.853460894457553,46.365052941446116,1148284.794875717,comandroidchrome
45.421355444987164,3.0,30.96340105507916,31.288199183110482,234328.2773895444,0.0465996327313925,383946.84971203614,nexus7,0.32479812803133273,httpswwwdatememecom,255.0,1172317.1134808317,149454.2781463391,203331.39519634424,5.8200308677333545,15.25124186937539,8.54480021893815,47.348020769786764,1143250.003037593,comandroidchrome
60.10342816575672,3.0,29.094233701144983,29.60824634831044,240436.06191028238,0.07146625928033905,799984.7348055919,nexus7,0.5140126471654636,httpswwwampprojectorg,255.0,1365230.0578776894,409116.3676475878,850132.8332323948,18.779554675666144,36.353155800574115,22.868341553145964,59.7417148114831,1314191.2977130965,comandroidchrome
46.9609482797249,3.0,31.007895748886437,31.32152615186129,201568.62481516332,0.04219000921606436,520071.71122060966,nexus7,0.3136304029748487,httpssmaller-picturesappspotcom,255.0,1168542.3559896352,243790.1367907255,257426.86926446206,8.600455930456603,21.003407471444635,13.199377156427836,48.64472299350168,1133938.7837167582,comandroidchrome
50.066483066102386,3.0,30.954437026700052,31.245379042125453,224881.52989387736,0.04006721322384265,693144.0404948756,nexus7,0.29094201542539494,httpssplittypiecom,255.0,1190861.1005526946,273909.9472645718,404388.4687528291,9.603532099389207,28.346605906841802,16.042006787060448,49.376504574369626,1197262.6361070035,comandroidchrome
53.850540022472764,3.0,30.98132851309281,31.315110309799447,163625.95919869948,0.04850795431701662,628291.596350565,nexus7,0.33378179670663394,httpsdevelopersgooglecom,255.0,1214259.7304053225,284978.5136420681,385638.36832053674,12.075198282281166,25.855631356250296,16.78708483754959,49.209099275824634,1236750.3824567094,comandroidchrome
49.42643796409667,3.0,31.048779182858997,31.36417354048047,154008.22739194674,0.04381880650920619,360048.64014515147,nexus7,0.3153943576214687,httpswwwtaskadecom,255.0,1104561.0058053702,147674.18000874948,205630.81327501612,6.4316046721809625,14.853249878623359,15.200861934502058,47.137381032915215,1129060.7633418671,comandroidchrome
42.844203466201755,3.0,30.959053279571183,31.257845671337563,233634.82663531395,0.042882232534317666,362534.520396784,nexus7,0.29879239176637545,httpsqrcodescanin,255.0,1138238.4912887344,121514.76817389282,179890.36033999393,4.589662339938233,14.320399341942085,8.059505572467751,44.35409618830758,1107041.942791368,comandroidchrome
